"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 13 11:20:03 GMT 2023","Fri Oct 13 11:20:03 GMT 2023","176","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Oct 13 11:19:54 GMT 2023","Fri Oct 13 11:19:54 GMT 2023","283","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Fri Oct 13 11:19:59 GMT 2023","Fri Oct 13 11:20:00 GMT 2023","275","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Fri Oct 13 11:20:03 GMT 2023","Fri Oct 13 11:20:03 GMT 2023","191","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Fri Oct 13 11:20:00 GMT 2023","Fri Oct 13 11:20:00 GMT 2023","283","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Oct 13 11:20:03 GMT 2023","Fri Oct 13 11:20:04 GMT 2023","291","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Fri Oct 13 11:20:00 GMT 2023","Fri Oct 13 11:20:00 GMT 2023","281","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Fri Oct 13 11:20:00 GMT 2023","Fri Oct 13 11:20:01 GMT 2023","600","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Fri Oct 13 11:19:57 GMT 2023","Fri Oct 13 11:19:57 GMT 2023","454","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Fri Oct 13 11:19:56 GMT 2023","Fri Oct 13 11:19:57 GMT 2023","147","","Validação Banner","","","","Deve validar o baner do portal",""
