"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Validação do logo pagina home","","3","0","0","0","0"
"","Validar acessibilidade da home","","1","0","0","0","0"
"","Validação grid system","","4","0","0","0","0"
"","Validação Banner","","2","0","0","0","0"
